序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,river_distance_m,river_distance_category,mean_elevation,std_elevation,max_slope,terrain_risk,is_warning_zone,is_critical_zone,index_station,station_id,station_name,rain_1hr,rain_3hr,rain_24hr,nearest_station_distance_m,nearest_station_name,nearest_rain_1hr,nearest_rain_3hr,nearest_rain_24hr,dynamic_risk,river_risk,slope_risk,rain_risk,risk_score
46,花蓮縣秀林鄉,和平村,和平112號,121.748879,24.308073,和平國小,和中部落,250,"水災,土石流",蔡金郎,03-868113,是,否,否,865.6731620846823,500-1000m,27.502351140126624,17.994240499848075,45.47325489245612,HIGH,False,False,7,C0TA40,秀林,1.0,12.0,264.0,1890.4534798098125,秀林,1.0,12.0,264.0,WARNING,0.6491634366090646,0.5512734142676556,0.5,0.5675892270934693
1306,花蓮縣富里鄉,豐南村,豐南7鄰12-3號,121.2686,23.143,豐南社區活動中心,豐南村,50,"水災,震災,土石流,海嘯",黃瓊瑤,03-8831820,是,否,是,53.52427211311938,<500m,299.4591485256446,13.260633382071601,41.046370980695286,HIGH,False,False,78,C1S850,豐南,0.0,0.0,115.0,2396.0343891434313,豐南,0.0,0.0,115.0,WARNING,0.9887874429127009,0.4927238741112949,0.0,0.49389276725283376
1332,花蓮縣富里鄉,富南村,富南村4鄰42-1號,121.2399,23.1612,玉寶宮,富南村,20,"水災,土石流",鄧仲量,03-8831822,是,否,是,277.1759889651319,<500m,240.63090767245217,7.8382103154261635,29.891892541055007,HIGH,False,False,168,C0T9N0,富里,2.0,2.0,124.0,1509.3041684256311,富里,2.0,2.0,124.0,WARNING,0.8952608826576883,0.3451958168270444,1.0,0.7669000539783042
1342,花蓮縣富里鄉,永豐村,永豐10鄰20-1號,121.2565,23.1714,永豐社區活動中心,永豐村,50,"水災,土石流",黃瓊瑤,03-8831821,是,否,是,342.78591644594366,<500m,257.4568151540308,22.75303856265916,32.28624886500252,HIGH,False,False,168,C0T9N0,富里,2.0,2.0,124.0,729.6529463320105,富里,2.0,2.0,124.0,WARNING,0.8678241568313382,0.37686334290902834,1.0,0.7667974577636768
1350,花蓮縣富里鄉,富里村,中山路205號,121.247624,23.174527,富里老人文康中心,富里村,100,"水災,土石流",古智雄,03-8831048,是,否,是,294.44057603608655,<500m,238.32434659181177,18.28400531387887,30.526334277140307,HIGH,False,False,168,C0T9N0,富里,2.0,2.0,124.0,366.7755182668359,富里,2.0,2.0,124.0,WARNING,0.8880411864903748,0.35358688211003314,1.0,0.7668904799046411
1353,花蓮縣卓溪鄉,古風村,23鄰16-1號,121.2359,23.1784,石平社區活動中心,古風村石平社區,50,"水災,土石流",林章成,03-8881852,是,否,是,201.07947883287818,<500m,265.35810859851796,54.847786794520275,49.29889358593531,HIGH,False,False,168,C0T9N0,富里,2.0,2.0,124.0,1569.908021412582,富里,2.0,2.0,124.0,WARNING,0.9270828822392505,0.601870943087537,1.0,0.8550402917099987
1355,花蓮縣富里鄉,富里村,中山路376號,121.2503,23.1795,富里鄉公所2樓,富里村,100,"水災,土石流",陳伯昇,03-8831111,是,否,是,724.8704943402179,500-1000m,246.17891436468935,28.573259310084186,32.616479363973724,HIGH,False,False,168,C0T9N0,富里,2.0,2.0,124.0,875.6009550344379,富里,2.0,2.0,124.0,WARNING,0.7080442239968172,0.3812309396759106,1.0,0.7121847603016591
1379,花蓮縣富里鄉,石牌村,8鄰富北34-2號,121.2643,23.1928,石牌社區活動中心,石牌村,30,"水災,土石流",王貞予,03-8831323,是,否,是,157.99084541481645,<500m,217.7405811119274,12.674413449210222,27.666911420642784,HIGH,False,False,85,01T720,明里,0.0,0.0,142.0,1668.4599460343231,明里,0.0,0.0,142.0,WARNING,0.9451016648643221,0.31576843087038325,0.0,0.4255161119636277
1386,花蓮縣富里鄉,明里村,3鄰明里37號,121.2522,23.1998,明里社區活動中心,明里村,50,"水災,土石流",徐祥寶,03-8846057,是,否,是,823.202535117492,500-1000m,222.76228475692258,21.376596869510504,45.127977759573895,HIGH,False,False,85,01T720,明里,0.0,0.0,142.0,284.7157665169104,明里,0.0,0.0,142.0,WARNING,0.6669237816134511,0.5467068121701727,0.0,0.39743536721575967
1389,花蓮縣富里鄉,羅山村,9鄰東湖39號,121.2776,23.2021,羅山縱管處,羅山村,50,"水災,土石流",徐祥寶,03-8821330,是,否,是,194.40087495828084,<500m,222.57304280443415,11.16499422700819,30.42821718896114,HIGH,False,False,55,C0Z020,明里,0.0,0.0,139.0,1725.1212157721745,明里,0.0,0.0,139.0,WARNING,0.929875737382456,0.35228919495381256,0.0,0.43114326657000335
1422,花蓮縣卓溪鄉,古風村,崙天18號,121.2645,23.2192,古風國小,古風村崙天,100,"水災,土石流",黃印龍,03-8846058,是,否,是,344.39091303009496,<500m,211.24118607565913,14.611808171023034,43.36571143105399,HIGH,False,False,55,C0Z020,明里,0.0,0.0,139.0,1181.680954781384,明里,0.0,0.0,139.0,WARNING,0.8671529801828887,0.5233992474757919,0.0,0.46052331730674856
1426,花蓮縣卓溪鄉,古風村,1鄰20號,121.2649,23.2202,崙天社區活動中心,古風村崙天社區,50,"水災,土石流",林章成,03-8881852,是,否,是,461.38487242884037,<500m,211.36301327527053,18.54578513395098,46.451935104090396,HIGH,False,False,55,C0Z020,明里,0.0,0.0,139.0,1298.2652874100254,明里,0.0,0.0,139.0,WARNING,0.8182285062410255,0.5642173444662961,0.0,0.45564518052424774
1434,花蓮縣富里鄉,竹田村,1鄰東竹10號,121.2899,23.2261,新興竹田聯合社區活動中心,新興村,80,"水災,土石流",陳韋睿,03-8821423,是,否,是,585.7845153095101,500-1000m,238.52522567369684,26.826757524535072,26.09620052101351,LOW,False,False,10,C2TA60,六十石,0.5,0.5,196.5,2941.941588409364,六十石,0.5,0.5,196.5,SAFE,0.7662071273786423,0.2949943598251595,0.25,0.4441708025300727
1474,花蓮縣富里鄉,萬寧村,7鄰鎮寧100號,121.2982,23.251,萬寧社區活動中心,萬寧村,50,"水災,土石流",彭家玲,03-8861120,是,否,是,587.0400516281233,500-1000m,185.01412708389245,6.923329462643441,20.54016931620586,LOW,False,False,120,81T910,東里國中,0.0,0.0,172.5,1453.3014380530926,東里國中,0.0,0.0,172.5,SAFE,0.7656820878448173,0.221510826346531,0.0,0.3344419786496453
1487,花蓮縣富里鄉,東里村,1鄰福安路6-1號,121.3052,23.2673,東里社區活動中心,東里村,50,"水災,土石流",廖維正,03-8861165,是,否,是,660.1283386824495,500-1000m,163.92257891858148,5.132992919596025,20.56149949821276,LOW,False,False,155,C0Z300,東里,0.0,0.0,181.0,138.7432961671548,東里,0.0,0.0,181.0,SAFE,0.7351180654472375,0.22179293727892696,0.0,0.3238292040902112
